"","ensembl_transcript_id","external_transcript_id","con1_ExpCounts","con2_ExpCounts","mic1_ExpCounts","mic2_ExpCounts","mic3_ExpCounts"
"1","ENSRNOT00000000015","F1LUT6_RAT",-0.539602505455396,-0.475876276693376,0.765322895803406,0.674447362582591,0.703812704225714
"2","ENSRNOT00000000018","Steap1",-1.92167776613541,-0.947889694802139,2.32176377005797,2.23203737526769,2.53732899213927
"3","ENSRNOT00000000022","Fbxl14",2.52194830225588,2.40453759281747,3.33724382391433,3.47194336915254,3.07874489090062
"4","ENSRNOT00000000025","B4F7C7_RAT",5.95945892155307,6.15953212481037,5.64554495052224,5.49166846547672,5.73728672360051
"5","ENSRNOT00000000029","Nde1",1.27350834879839,0.0340721532949905,2.38285854116516,3.3105935345559,2.55818068739166
"6","ENSRNOT00000000036","Tmcc2",2.67829244652563,1.56090423620862,1.99252610792335,2.29124873577607,2.35074083818703
"7","ENSRNOT00000000037","Fgfrl1",3.1356729958639,2.8492750506654,3.37461549888157,3.61774356058432,2.60757037150371
"8","ENSRNOT00000000039","Nuak2",4.69643320089053,3.2158261763801,3.97677356614191,3.67444399472014,3.86001821931749
"9","ENSRNOT00000000041","Klhdc8a",2.35026638678835,3.05927272494664,0.408249066272489,0.536384932850992,-0.516294024605217
"10","ENSRNOT00000000047","Slc26a1",7.99326941551708,8.19648734777597,7.51539878662301,7.27864608640891,7.01267146440045
"11","ENSRNOT00000000048","LOC100361089",4.95000402665136,4.77178668030951,5.72913757509523,5.70679520919357,5.74746451693517
"12","ENSRNOT00000000049","Xpr1",3.65889636291888,3.75061592370795,4.73841848577316,4.97573848355846,4.29472783925748
"13","ENSRNOT00000000050","Tmem175",2.65718108405997,2.74097922876767,3.88233161246986,3.84222098182907,3.92834769090838
"14","ENSRNOT00000000052","Cd82",5.83015406163553,5.76011541945897,6.59184071940229,6.44246933264829,6.53851808494476
"15","ENSRNOT00000000053","Cd244",0.0902450309417129,-0.530938737396139,1.24878742875991,0.32143265695502,1.86896457691023
"16","ENSRNOT00000000058","Crp",12.8406604076554,12.9630150906998,10.3735371783993,10.1603554231849,10.0010688596605
"17","ENSRNOT00000000060","Abhd8",1.92500798335253,1.99735435766613,2.57325887834891,2.62624466939255,2.55904300174871
"18","ENSRNOT00000000064","Gak",6.23881771656414,6.31020263766309,7.30392972651374,7.30709426020248,7.23233094080654
"19","ENSRNOT00000000071","Pcgf3",2.3237155375941,2.18347903590263,3.67236451554657,3.67833080153019,3.35071591085867
"20","ENSRNOT00000000072","Atp5i",6.000980417637,5.80339029262878,6.25306319142522,6.09003501790412,6.59961676751884
"21","ENSRNOT00000000074","Fbxo28",3.21467244596281,3.62421163351325,4.29431557292421,4.42805044582231,4.33304156093099
"22","ENSRNOT00000000078","Ppp2r5a",7.37393230431581,7.49990408488513,6.66292861447927,6.80059320675684,6.80700903418596
"23","ENSRNOT00000000079","Acot7",3.87545294447376,4.21603982567606,4.83686728807905,4.87652093992467,5.2492977519193
"24","ENSRNOT00000000080","Dr1",4.76217362729028,4.86696782926663,5.81620063513133,5.70412872663749,5.66658571111926
