"","ensembl_gene_id","external_gene_name","con1_ExpCounts","con2_ExpCounts","mic1_ExpCounts","mic2_ExpCounts","mic3_ExpCounts"
"1","ENSRNOG00000000017","Steap1",-2.04228314396899,-1.06950486549772,2.19460392231137,2.12947777033978,2.44164638779089
"2","ENSRNOG00000000021","AABR07061902.1",2.31071089602459,2.16032610526344,3.07273083624762,3.22176988093974,2.85212761042022
"3","ENSRNOG00000000024","Hebp1",5.87511482246139,6.07127284856261,5.55534405217599,5.42403575167806,5.6806276343162
"4","ENSRNOG00000000033","Tmcc2",3.19613890789064,2.0253092354105,2.27103432138525,2.58285114354378,3.00537199461934
"5","ENSRNOG00000000034","Nuak2",4.58310330907205,3.09486246947845,3.84951349448766,3.54175613854967,3.73394748245763
"6","ENSRNOG00000000036","Klhdc8a",2.49763830365515,3.16077120094011,0.281495535228887,0.499367121483379,-0.463683212262205
"7","ENSRNOG00000000040","RGD1304622",0.837551072960127,-0.329202058046257,0.828484101251182,1.15147618870186,0.764765811143898
"8","ENSRNOG00000000041","Slc26a1",7.87667463296244,8.07561643900888,7.38833202259543,7.14595624538763,6.89561185392378
"9","ENSRNOG00000000042","Xpr1",3.58449631305265,3.648164577652,4.67933543302968,4.87862390811059,4.24693334738015
"10","ENSRNOG00000000043","Idua",4.33924285293644,4.26312708988225,5.22506404990732,5.15734663605012,5.2753162837953
"11","ENSRNOG00000000044","Tmem175",2.51938901383321,2.63862449856315,3.85573144399936,3.7095186695699,3.85217443563982
"12","ENSRNOG00000000047","Cd82",5.71402480035718,5.63927608452689,6.46456196808843,6.30966912878665,6.42127846745969
"13","ENSRNOG00000000048","Gak",6.22817592290749,6.25467592334176,7.2663491331357,7.29103790872168,7.16494549767943
"14","ENSRNOG00000000053","Crp",12.1801404908201,12.3269671967219,9.71006863727496,9.55931285384095,9.36915918845292
"15","ENSRNOG00000000054","Abhd8",1.80852129252944,1.87633957656398,2.4460755380203,2.51650766030114,2.44164638779089
"16","ENSRNOG00000000062","Pcgf3",2.20730302848707,2.1078257098559,3.56832098217092,3.56261968667734,3.31871702017251
"17","ENSRNOG00000000064","Atp5me",5.88608082974291,5.68245867006152,6.12602336159318,5.95771944746496,6.48240378279607
"18","ENSRNOG00000000066","Fbxo28",3.09836730027701,3.5032574151175,4.16704628811636,4.29530901313501,4.21576355907018
"19","ENSRNOG00000000068","Ppp2r5a",7.25812583923359,7.37940604171386,6.53570661143335,6.6677887533249,6.68975987846061
"20","ENSRNOG00000000070","LOC100910207",2.28249589950163,3.1606423433939,5.14212733769497,4.94998780107101,3.97996418391874
"21","ENSRNOG00000000073","Tmed5",4.41017369437063,4.52861449544348,4.79062085485664,4.82768637648722,4.59582426321717
"22","ENSRNOG00000000075","Mtf2",2.31071089602459,2.30725365186064,3.09802402800838,3.16240709668381,3.4206492630258
"23","ENSRNOG00000000081","Antxr2",4.42753277320913,4.17471327120309,4.18196975203771,4.35979801976556,4.02453499012226
"24","ENSRNOG00000000082","Hltf",3.62518704775063,3.23608195655963,5.04586051357694,5.16873142724599,5.30455730804545
"25","ENSRNOG00000000095","Gpr89b",5.47608507206443,5.34811696954546,5.79142975170211,5.82309848374409,5.9005052457335
"26","ENSRNOG00000000096","Pdzk1",5.19880464441724,5.09183679977921,4.70366937101181,4.9219840238647,4.92746792623633
"27","ENSRNOG00000000098","Rnf115",4.64099904094184,4.68909731853763,6.8917533059127,6.57757936076618,6.68007479853932
"28","ENSRNOG00000000104","Thoc3",4.01791065815157,4.10182231171331,5.00159906884714,5.154259094656,5.00609118248977
"29","ENSRNOG00000000105","Cplx2",1.44927785377598,0.350743642696971,2.70216620409677,2.8395712494322,2.52538418566033
"30","ENSRNOG00000000108","Aga",4.48415393103429,4.54351514341054,5.74525463288328,5.56861551199378,5.99890560341553
"31","ENSRNOG00000000111","Coprs",1.25553093505252,1.05238323308565,2.47867232516342,2.37390097995079,2.73248784895872
"32","ENSRNOG00000000112","Champ1",4.62101886417369,4.14153831454527,4.81571623471764,5.03352971408386,4.4045165866465
"33","ENSRNOG00000000113","Elac1",2.35976194271701,1.7101974210395,2.24398348562948,2.60302631529212,2.25800800190822
"34","ENSRNOG00000000121","Pigv",1.91081065271824,2.0808412409254,3.1188543146262,3.77719560700041,3.39861189130546
"35","ENSRNOG00000000122","Ak2",7.20995822953367,7.15320395111205,7.16892036384599,7.26014939567399,7.06341715715366
