"","ensembl_transcript_id","external_transcript_name","con1_ExpCounts","con2_ExpCounts","mic1_ExpCounts","mic2_ExpCounts","mic3_ExpCounts"
"1","ENSRNOT00000000018","Steap1-201",-2.0414668986905,-1.06870080747358,2.19571250995867,2.13063021836244,2.4426623135561
"2","ENSRNOT00000000022","AABR07061902.1-201",2.31131925842299,2.16107237853594,3.07384222328022,3.22292661189843,2.85314412747445
"3","ENSRNOT00000000025","Hebp1-201",5.87571339212777,6.07201268576353,5.5564581821074,5.42519544367193,5.68164569498304
"4","ENSRNOT00000000036","Tmcc2-201",3.19674236390006,2.02605618506177,2.27214322584814,2.58400576670897,3.00638869271671
"5","ENSRNOT00000000037","Fgfrl1-201",3.21018409591404,2.78029035154026,3.29502760794643,3.49773704338869,2.97692510494042
"6","ENSRNOT00000000039","Nuak2-201",4.58370318865726,3.0956054555736,3.85062627232254,3.54291362204956,3.73496482109444
"7","ENSRNOT00000000041","Klhdc8a-201",2.49824536610856,3.16151402594863,0.28258713833752,0.500502668085326,-0.462682788015684
"8","ENSRNOT00000000047","Slc26a1-201",7.87727252422828,8.07635593211192,7.38944658246235,7.14711651023019,6.89663005855381
"9","ENSRNOT00000000048","Idua-201",4.33984314026845,4.26386807380686,5.22617802607614,5.15850616113213,5.27633426242384
"10","ENSRNOT00000000049","Xpr1-201",3.50523773675691,3.42558803988743,4.53781136760786,4.81090485853446,3.5636025549994
"11","ENSRNOT00000000050","Tmem175-201",2.51999593567642,2.63936882640052,3.85684423021969,3.71067648575622,3.85319185098584
"12","ENSRNOT00000000052","Cd82-201",5.71462347683914,5.64001608173331,6.46567637746005,6.31082919789542,6.4222966296785
"13","ENSRNOT00000000053","Cd244-201",-0.227691293401505,-0.737407076349496,1.17358718300216,0.443511452083297,1.73428123702956
"14","ENSRNOT00000000058","Crp-201",12.1792030093403,12.3253191653612,9.70073199302998,9.55020744830785,9.36551131685021
"15","ENSRNOT00000000060","Abhd8-201",1.80913410869936,1.87708734974294,2.44718510782665,2.51766200624377,2.4426623135561
"16","ENSRNOT00000000064","Gak-201",6.22877429628939,6.25541570582782,7.2674636782009,7.29219819740564,7.16596372086316
"17","ENSRNOT00000000071","Pcgf3-201",2.20791218575215,2.10857223863968,3.56943334041145,3.56377721368812,3.31973403365458
"18","ENSRNOT00000000072","Atp5me-201",5.88667939256242,5.68319864903401,6.12713768679319,5.95887939364558,6.48342195129388
"19","ENSRNOT00000000074","Fbxo28-201",3.09897116231483,3.50399951189068,4.16815945115119,4.29646772963898,4.21678117451686
"20","ENSRNOT00000000078","Ppp2r5a-201",7.25872385138117,7.38014560567351,6.53682103611882,6.66894892023862,6.69077806638144
"21","ENSRNOT00000000079","Acot7-201",3.77796228977682,4.03010416629259,4.63966694957004,4.72339548660189,5.06496260213573
"22","ENSRNOT00000000080","LOC100910207-201",2.28310447315994,3.16138516871024,5.14324126939837,4.95114717328684,3.98098167540571
"23","ENSRNOT00000000083","Tmed5-201",4.41077385591453,4.52935520958566,4.79173456696977,4.8288456476858,4.59684204034764
"24","ENSRNOT00000000086","Mtf2-201",2.31131925842299,2.30799925756177,3.09913547309768,3.16356366873225,3.42166636519507
"25","ENSRNOT00000000092","Antxr2-201",4.42813290489913,4.17545435656849,4.18308293117355,4.36095681485081,4.02555250661873
"26","ENSRNOT00000000106","Gpr89b-201",5.47668392983032,5.34885710502764,5.79254397185876,5.82425837438535,5.90152334215243
"27","ENSRNOT00000000107","Pdzk1-201",5.19940375484283,5.0925770823444,4.70478302003745,4.91096101286162,4.92848581353689
"28","ENSRNOT00000000110","Rnf115-201",4.64159883343284,4.68983789210914,6.89286779685153,6.57873950528154,6.68109298561375
"29","ENSRNOT00000000116","Thoc3-201",4.01851159959795,4.10256348551348,5.00271291912024,5.15541861761924,5.00710909239976
"30","ENSRNOT00000000120","Aga-201",4.48475396780744,4.54425584383247,5.74636883653491,5.56977528237586,5.99992371415223
"31","ENSRNOT00000000123","Coprs-201",1.25615082842211,1.0531374719864,2.47978201020107,2.37505468503959,2.73350421067896
"32","ENSRNOT00000000124","Champ1-201",4.62161868632731,4.14227943960654,4.81682996434275,5.03468915054132,4.40553428770953
"33","ENSRNOT00000000125","Elac1-201",2.36036994753826,1.71094621877526,2.24509227987646,2.6041810202643,2.25902360354042
"34","ENSRNOT00000000133","Pigv-201",-2.67033453730463,-2.67033453730463,-2.67033453730463,0.252210209505322,2.50054337506724
"35","ENSRNOT00000000134","Ak2-201",7.21055625345165,7.15394354649212,7.17003489615624,7.26130967948093,7.06443537374673
