"","ensembl_gene_id","external_gene_id","con1_ExpCounts","con2_ExpCounts","mic1_ExpCounts","mic2_ExpCounts","mic3_ExpCounts"
"1","ENSRNOG00000000014","F1LUT6_RAT",-0.540760037692488,-0.476854346068907,0.763894686075833,0.673293451113216,0.702774356191525
"2","ENSRNOG00000000017","Steap1",-1.92283652761727,-0.948889709409212,2.32031575096933,2.23088393392078,2.53630089406167
"3","ENSRNOG00000000021","Fbxl14",2.52079144356568,2.40360852186508,3.33579064817131,3.47079006727367,3.0777180436727
"4","ENSRNOG00000000024","B4F7C7_RAT",5.95830214605827,6.15861018318761,5.6440877461497,5.4905152407546,5.73626218805224
"5","ENSRNOG00000000028","Nde1",1.9587522552375,2.5392648553936,3.38259071810666,3.47066210318198,3.27377555423475
"6","ENSRNOG00000000029","MYH11_RAT",3.02877295499101,2.93277183434797,3.46478427306876,3.33665709453648,2.42253977328183
"7","ENSRNOG00000000033","Tmcc2",2.67713559724879,1.55996904737925,1.99108070471909,2.2900953041555,2.3497121881704
"8","ENSRNOG00000000034","Nuak2",4.69527641355204,3.2149004172538,3.97531858290817,3.67329070625285,3.85899252061474
"9","ENSRNOG00000000036","Klhdc8a",2.34910951651559,3.05834646288444,0.40682928506463,0.535230949877862,-0.517351316905333
"10","ENSRNOG00000000040","RGD1304622",0.254404635445035,-0.361350187214902,0.40682928506463,0.802547150413493,0.294526057324469
"11","ENSRNOG00000000041","Slc26a1",7.99211264641617,8.19556583748334,7.51394084195184,7.27749287962369,7.01164718415945
"12","ENSRNOG00000000042","Xpr1",3.65773955420642,3.74969152366431,4.73696217345585,4.97458524797866,4.29370255633197
"13","ENSRNOG00000000043","LOC100361089",4.94884724258545,4.77086381668683,5.72768031335017,5.70564198797005,5.74643998444505
"14","ENSRNOG00000000044","Tmem175",2.65602423357081,2.74005175940051,3.89853224309122,3.84106770313285,3.92732206613452
"15","ENSRNOG00000000045","Cd244",0.089087769398981,-0.531919012602315,1.24735067290962,0.320278548099396,1.86793412319025
"16","ENSRNOG00000000047","Cd82",5.82899728534748,5.75919329592526,6.5903830247883,6.44131612011578,6.53749373477668
"17","ENSRNOG00000000048","Gak",6.34651120029896,6.37619194417095,7.39387878104551,7.42683103290759,7.28285278825818
"18","ENSRNOG00000000053","Crp",12.8395036405487,12.9620937142706,10.3720789933475,10.1592022227252,10.0000447364876
"19","ENSRNOG00000000054","Abhd8",1.9238510776885,1.99642277590075,2.57180922681745,2.62509128587741,2.55801496338781
"20","ENSRNOG00000000062","Pcgf3",2.32255866540379,2.3310496514593,3.74617451628228,3.71709932328339,3.53693719850836
"21","ENSRNOG00000000064","Atp5i",5.99982364238221,5.80246819132322,6.2516056368012,6.08888180175615,6.59859242770239
"22","ENSRNOG00000000066","Fbxo28",3.21351562222218,3.62328695613023,4.2928599495291,4.42689719356764,4.33201630899321
"23","ENSRNOG00000000068","Ppp2r5a",7.37277553410719,7.49898248833968,6.66147089443602,6.79943999709647,6.80598472641001
"24","ENSRNOG00000000070","Dr1",4.76101684085621,4.86604506092028,5.81474331706288,5.70297550537373,5.66556115372124
"25","ENSRNOG00000000073","TMED5_RAT",4.63181349869958,4.74050168296243,5.05261766298925,5.15068505972875,4.86796569101878
"26","ENSRNOG00000000075","Mtf2",2.42595042437273,2.42731636252264,3.22379945453007,3.29390203196078,3.53693719850836
"27","ENSRNOG00000000081","LOC305633",3.78959479557827,3.42768892735461,3.41051212120211,3.40521492501395,3.35043632483025
"28","ENSRNOG00000000082","Hltf",3.74029695021648,3.34383504905325,5.17440677330613,5.29675050056002,5.42374442904349
